ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement,
1,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodRoundwood,SoftwoodRoundwoodDelivery,Mass,8915921.139,4163735172
2,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodRoundwood,HardwoodRoundwoodDelivery,Mass,1165703.186,544383387.9
3,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,SawmillsSoftwood,Mass,5351735.953,2499260690
4,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,SawmillsHardwood,Mass,179751.6996,83944043.71
5,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodSawnwood,SawmillsSoftwood,Mass,3048219.049,1423518296
6,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodSawnwood,SawmillsHardwood,Mass,64083.56681,29927025.7
7,UnitedKingdom,YearOf2019,Export,SoftwoodRoundwood,,Mass,161229.7786,75294306.61
8,UnitedKingdom,YearOf2019,Export,HardwoodRoundwood,,Mass,5954.996739,2780983.477
9,UnitedKingdom,YearOf2019,Import,SoftwoodRoundwood,,Mass,623883.3163,291353508.7
10,UnitedKingdom,YearOf2019,Import,HardwoodRoundwood,,Mass,101050.9204,47190779.83
11,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,,Mass,5754072.146,2687151692
12,UnitedKingdom,YearOf2019,Import,HardwoodSawnwood,,Mass,822178.5274,383957372.3
13,UnitedKingdom,YearOf2019,Export,SoftwoodSawnwood,,Mass,172523.8347,80568630.8
14,UnitedKingdom,YearOf2019,Export,HardwoodSawnwood,,Mass,29996.56319,14008395.01
15,UnitedKingdom,YearOf2019,SoldProduction,Fibreboard,,Mass,991416.4882,462991500
16,UnitedKingdom,YearOf2019,SoldProduction,Particleboard,,Mass,1969500.642,919756799.8
17,UnitedKingdom,YearOf2019,Import,Furniture,,Mass,2583899.366,1206681004
18,UnitedKingdom,YearOf2019,Export,Fibreboard,,Mass,90942.18415,42470000
19,UnitedKingdom,YearOf2019,Export,Particleboard,,Mass,320685.2248,149760000
20,UnitedKingdom,YearOf2019,Import,Fibreboard,,Mass,1311327.623,612389999.9
21,UnitedKingdom,YearOf2019,Import,Particleboard,,Mass,1745952.891,815360000.1
22,UnitedKingdom,YearOf2019,Export,VeneerSheets,,Mass,1826.552463,853000.0002
23,UnitedKingdom,YearOf2019,Import,VeneerSheets,,Mass,48403.64026,22604500
24,UnitedKingdom,YearOf2019,Export,Plywood,,Mass,101284.7966,47300000.01
25,UnitedKingdom,YearOf2019,Import,Plywood,,Mass,1711241.97,799150000
26,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,RoundwoodToFencingAndOutdoorManufacturing,Mass,241069.1869,112579310.3
27,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,OtherEnergyFeedstocksSoftwoodRoundwood,Mass,534900.6867,249798620.7
28,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,OtherEnergyFeedstocksHardwoodRoundwood,Mass,939001.4158,438513661.2
29,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,WBPFibresSoftwoodRoundwood,Mass,1199887.765,560347586.3
30,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,WBPFibresByProducts,Mass,1335432.327,623646896.7
31,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibre,WBPFibresRecycledWoodFibre,Mass,895139.9246,418030344.8
32,UnitedKingdom,YearOf2019,Import,GraphicPapers,,Mass,5526093.606,2580685714
33,UnitedKingdom,YearOf2019,Import,SanitaryPapers,,Mass,689385.133,321942857.1
34,UnitedKingdom,YearOf2019,Import,Packaging,,Mass,4927011.319,2300914286
35,UnitedKingdom,YearOf2019,Import,OtherPaperProducts,,Mass,284123.5852,132685714.3
36,UnitedKingdom,YearOf2019,Export,GraphicPapers,,Mass,775282.9612,362057142.9
37,UnitedKingdom,YearOf2019,Export,SanitaryPapers,,Mass,15417.55889,7200000.002
38,UnitedKingdom,YearOf2019,Export,Packaging,,Mass,740042.8266,345600000
39,UnitedKingdom,YearOf2019,Import,Pulp,,Mass,1975650.046,922628571.5
40,UnitedKingdom,YearOf2019,Export,Pulp,,Mass,19822.57571,9257142.857
41,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,SawnwoodToFencingAndOutdoorManufacturing,Mass,1127841.048,526701769.4
42,UnitedKingdom,YearOf2019,SoldProduction,GraphicPapers,,Mass,2021902.722,944228571.2
43,UnitedKingdom,YearOf2019,SoldProduction,SanitaryPapers,,Mass,1678311.41,783771428.5
44,UnitedKingdom,YearOf2019,SoldProduction,Packaging,,Mass,4149525.848,1937828571
45,UnitedKingdom,YearOf2019,SoldProduction,OtherPaperProducts,,Mass,632119.9143,295200000
46,UnitedKingdom,YearOf2019,Import,WoodPellets,,Mass,19010706.64,8878000001
47,UnitedKingdom,YearOf2019,SoldProduction,WoodPellets,,Mass,1831519.406,855319562.6
48,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,PulpmillsByProducts,Mass,61176.27493,28569320.39
49,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,OtherEnergyFeedstocksByProducts,Mass,1259743.041,588300000.1
50,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,WoodPelletsManufacturingByProducts,Mass,563169.1649,263000000
51,UnitedKingdom,YearOf2019,ProcessInput,PostConsumerWood,WoodPelletsManufacturingPostConsumerWood,Mass,856531.0493,400000000
52,UnitedKingdom,YearOf2019,ProcessInput,RecycledPaper,PulpmillsRecycledPaper,Mass,6827776.079,3188571429
53,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,NewPulpMaking,Mass,422098.5011,197120000
54,UnitedKingdom,YearOf2019,Import,RecycledPaper,,Mass,182808.1982,85371428.56
55,UnitedKingdom,YearOf2019,Export,RecycledPaper,,Mass,9530253.899,4450628571
56,UnitedKingdom,YearOf2019,ProcessInput,PostConsumerWood,OtherEnergyFeedstocksPostConsumerWood,Mass,5117773.019,2390000000
57,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,WoodPelletsManufacturingSoftwoodRoundwood,Mass,411819.1923,192319562.8
58,UnitedKingdom,YearOf2019,SoldProduction,Pallets,,Mass,2605778.501,1216898560
59,UnitedKingdom,YearOf2019,Import,Pallets,,Mass,161641.6503,75486650.69
60,UnitedKingdom,YearOf2019,SoldProduction,OtherWoodContainers,,Mass,134374.2141,62752757.98
61,UnitedKingdom,YearOf2019,Import,OtherWoodContainers,,Mass,139693.7341,65236973.82
62,UnitedKingdom,YearOf2019,SoldProduction,Doors,,Mass,737064.6959,344209213
63,UnitedKingdom,YearOf2019,Import,Doors,,Mass,297016.3833,138706651
64,UnitedKingdom,YearOf2019,SoldProduction,FormworkScaffolding,,Mass,4485.351178,2094659
65,UnitedKingdom,YearOf2019,SoldProduction,Windows,,Mass,16535.28373,7721977.502
66,UnitedKingdom,YearOf2019,SoldProduction,Flooring,,Mass,511406.8544,238827001
67,UnitedKingdom,YearOf2019,SoldProduction,OtherObjects,,Mass,331.7494647,154927
68,UnitedKingdom,YearOf2019,SoldProduction,EndTerracedHouses,,Mass,3879.944325,1811934
69,UnitedKingdom,YearOf2019,SoldProduction,MidTerracedHouses,,Mass,6577.859101,3071860.2
70,UnitedKingdom,YearOf2019,SoldProduction,SemiDetachedHouses,,Mass,10489.38437,4898542.501
71,UnitedKingdom,YearOf2019,SoldProduction,DetachedHouses,,Mass,12343.63683,5764478.4
72,UnitedKingdom,YearOf2019,SoldProduction,Bungalows,,Mass,1389.561456,648925.2
73,UnitedKingdom,YearOf2019,SoldProduction,ConvertedFlats,,Mass,2346.012848,1095588
74,UnitedKingdom,YearOf2019,SoldProduction,FlatLowRise,,Mass,4218.311563,1969951.5
,,,,,,Mass,0,0
76,UnitedKingdom,YearOf2019,ProcessOutput,NewBuilds,HousesToNewBuilds,Mass,46261.56874,21604152.6
77,UnitedKingdom,YearOf2019,Import,FormworkScaffolding,,Mass,3824.010707,1785813
78,UnitedKingdom,YearOf2019,Import,Windows,,Mass,91849.27837,42893613
79,UnitedKingdom,YearOf2019,Import,Flooring,,Mass,134254.1242,62696676
80,UnitedKingdom,YearOf2019,Import,OtherObjects,,Mass,463932.2056,216656340
81,UnitedKingdom,YearOf2019,SoldProduction,Decking,,Mass,600474.3338,280421513.9
82,UnitedKingdom,YearOf2019,SoldProduction,FencingPosts,,Mass,239448.3809,111822393.9
82,UnitedKingdom,YearOf2019,SoldProduction,FencingRailsAndBoards,,Mass,320249.8004,149556656.8
83,UnitedKingdom,YearOf2019,SoldProduction,WoodenOutbuildings,,Mass,773341.2056,361150343
84,UnitedKingdom,YearOf2019,ProcessInput,FencingRailsAndBoards,FencingRailsAndBoardsConsumption,Mass,320249.8004,149556656.8
86,UnitedKingdom,YearOf2019,RecycledWoodFibreDelivery,,,Mass,2107.066381,983999.9999
87,UnitedKingdom,YearOf2019,RecycledPaperDelivery,,,Mass,15903640.26,7427000001
,,,,,,Mass,0,0
89,UnitedKingdom,YearOf2019,Import,WBPFibres,,Mass,0,0
90,UnitedKingdom,YearOf2019,Export,WoodPellets,,Mass,70663.81156,33000000
91,UnitedKingdom,YearOf2019,Export,Pallets,,Mass,175481.7987,81949999.99
92,UnitedKingdom,YearOf2019,Export,OtherWoodContainers,,Mass,35880.08565,16756000
93,UnitedKingdom,YearOf2019,Export,RailwaySleepers,,Mass,3908.526767,1825282
94,UnitedKingdom,YearOf2019,Export,Doors,,Mass,24369.71306,11380656
95,UnitedKingdom,YearOf2019,Export,FormworkScaffolding,,Mass,1149.892934,537000.0002
96,UnitedKingdom,YearOf2019,Export,Windows,,Mass,6274.089936,2930000
97,UnitedKingdom,YearOf2019,Export,Flooring,,Mass,5364.025696,2505000
98,UnitedKingdom,YearOf2019,Export,OtherObjects,,Mass,134252.6767,62696000.02
,,,,,,,0,0
100,UnitedKingdom,YearOf2019,ProcessOutput,Flooring,,Mass,96062.18415,44861040
