ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement,
101,UnitedKingdom,YearOf2019,Import,RailwaySleepers,,Mass,176278.8651,82322230
,,,,,,,0,0
,,,,,,,0,0
104,UnitedKingdom,YearOf2019,Import,WoodenBedroomFurniture,,Mass,534065.9208,249408785
105,UnitedKingdom,YearOf2019,Export,WoodenBedroomFurniture,,Mass,33939.86296,15849916
106,UnitedKingdom,YearOf2019,SoldProduction,WoodenBedroomFurniture,,Mass,309160.9208,144378150
107,UnitedKingdom,YearOf2019,Import,WoodenKitchenFurniture,,Mass,97888.65525,45714002
108,UnitedKingdom,YearOf2019,Export,WoodenKitchenFurniture,,Mass,33939.86296,15849916
109,UnitedKingdom,YearOf2019,SoldProduction,WoodenKitchenFurniture,,Mass,2012806.338,939980559.8
110,UnitedKingdom,YearOf2019,Import,WoodenOfficeFurniture,,Mass,98885.95503,46179741
111,UnitedKingdom,YearOf2019,Export,WoodenOfficeFurniture,,Mass,30116.30621,14064315
112,UnitedKingdom,YearOf2019,SoldProduction,WoodenOfficeFurniture,,Mass,283986.6167,132621750
113,UnitedKingdom,YearOf2019,Import,WoodenOtherFurniture,,Mass,1416840.797,661664652.2
114,UnitedKingdom,YearOf2019,Export,WoodenOtherFurniture,,Mass,112819.015,52686480.01
115,UnitedKingdom,YearOf2019,SoldProduction,WoodenOtherFurniture,,Mass,207306.2099,96812000.02
116,UnitedKingdom,YearOf2019,Import,WoodenSeats,,Mass,436218.0385,203713824
117,UnitedKingdom,YearOf2019,Export,WoodenSeats,,Mass,89941.8651,42002851
118,UnitedKingdom,YearOf2019,SoldProduction,WoodenSeats,,Mass,227189.2934,106097400
119,UnitedKingdom,YearOf2019,SoldProduction,VeneerSheets,,Mass,0,0
120,UnitedKingdom,YearOf2019,SoldProduction,Plywood,,Mass,0,0
