ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement,,
66,UnitedKingdom,YearOf2019,SoldProduction,OtherObjects,,Mass,904313,,
67,UnitedKingdom,YearOf2019,SoldProduction,EndTerracedHouses,,Area,1875141,9,21604152.6
68,UnitedKingdom,YearOf2019,SoldProduction,MidTerracedHouses,,Area,3151922.4,15,21604152.6
69,UnitedKingdom,YearOf2019,SoldProduction,SemiDetachedHouses,,Area,5747623.2,27,21604152.6
70,UnitedKingdom,YearOf2019,SoldProduction,DetachedHouses,,Area,4394993.4,20,21604152.6
71,UnitedKingdom,YearOf2019,SoldProduction,Bungalows,,Area,324462.6,2,21604152.6
72,UnitedKingdom,YearOf2019,SoldProduction,ConvertedFlats,,Area,1222002,6,21604152.6
73,UnitedKingdom,YearOf2019,SoldProduction,FlatLowRise,,Area,4888008,23,21604152.6
74,UnitedKingdom,YearOf2019,SoldProduction,OtherEnergyFeedstocks,,,,,
75,UnitedKingdom,YearOf2019,ProcessOutput,NewBuilds,HousesToNewBuilds,Area,21604152.6,,
76,UnitedKingdom,YearOf2019,Import,FormworkScaffolding,,Mass,1785813,,
77,UnitedKingdom,YearOf2019,Import,Windows,,Mass,42893613,,
78,UnitedKingdom,YearOf2019,Import,Flooring,,Mass,62696676,,
79,UnitedKingdom,YearOf2019,Import,OtherObjects,,Mass,216656340,,
80,UnitedKingdom,YearOf2019,SoldProduction,RefurbishedPallets,,Dimensionless,72919479,,
81,UnitedKingdom,YearOf2019,SoldProduction,WoodStructuresToRenovations,,Mass,894347393,,
82,UnitedKingdom,YearOf2019,RecycledWoodFibreDelivery,,,GreenMass,984000,,
83,UnitedKingdom,YearOf2019,RecycledPaperDelivery,,,Mass,7427000000,,
84,UnitedKingdom,YearOf2019,Export,WoodPellets,,Mass,33000000,,
85,UnitedKingdom,YearOf2019,Export,Pallets,,Mass,81950000,,
86,UnitedKingdom,YearOf2019,Export,OtherWoodContainers,,Mass,16756000,,
87,UnitedKingdom,YearOf2019,Export,RailwaySleepers,,Mass,1825282,,
88,UnitedKingdom,YearOf2019,Export,Doors,,Mass,11000000,,
89,UnitedKingdom,YearOf2019,Export,FormworkScaffolding,,Mass,537000,,
90,UnitedKingdom,YearOf2019,Export,Windows,,Mass,2930000,,
91,UnitedKingdom,YearOf2019,Export,Flooring,,Mass,2505000,,
92,UnitedKingdom,YearOf2019,Export,OtherObjects,,Mass,62696000,,
93,UnitedKingdom,YearOf2019,ProcessOutput,Flooring,,Area,65016000,,
94,UnitedKingdom,YearOf2019,Import,RailwaySleepers,,Mass,82322230,,
95,UnitedKingdom,YearOf2019,SoldProduction,WoodenOutbuildings,,Dimensionless,1081821000,,
96,UnitedKingdom,YearOf2019,Import,WoodenBedroomFurniture,,Mass,249408785,,
97,UnitedKingdom,YearOf2019,Export,WoodenBedroomFurniture,,Mass,15849916,,
98,UnitedKingdom,YearOf2019,SoldProduction,WoodenBedroomFurniture,,Dimensionless,5775126,,
99,UnitedKingdom,YearOf2019,Import,WoodenKitchenFurniture,,Mass,45714002,,
100,UnitedKingdom,YearOf2019,Export,WoodenKitchenFurniture,,Mass,15849916,,
101,UnitedKingdom,YearOf2019,SoldProduction,WoodenKitchenFurniture,,Dimensionless,46999028,,
102,UnitedKingdom,YearOf2019,Import,WoodenOfficeFurniture,,Mass,46179741,,
103,UnitedKingdom,YearOf2019,Export,WoodenOfficeFurniture,,Mass,14064315,,
104,UnitedKingdom,YearOf2019,SoldProduction,WoodenOfficeFurniture,,Dimensionless,5304870,,
105,UnitedKingdom,YearOf2019,Import,WoodenOtherFurniture,,Mass,661664652,,
106,UnitedKingdom,YearOf2019,Export,WoodenOtherFurniture,,Mass,52686480,,
107,UnitedKingdom,YearOf2019,SoldProduction,WoodenOtherFurniture,,Dimensionless,4840600,,
108,UnitedKingdom,YearOf2019,Import,WoodenSeats,,Mass,203713824,,
109,UnitedKingdom,YearOf2019,Export,WoodenSeats,,Mass,42002851,,
110,UnitedKingdom,YearOf2019,SoldProduction,WoodenSeats,,Dimensionless,176922,,
111,UnitedKingdom,YearOf2019,SoldProduction,Plywood,,Volume,0,,
112,UnitedKingdom,YearOf2019,SoldProduction,VeneerSheets,,Volume,0,,
