ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement
1,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodRoundwood,SoftwoodRoundwoodDelivery,GreenMass,9801000000
2,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodRoundwood,HardwoodRoundwoodDelivery,GreenMass,869000000
3,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,SawmillsSoftwood,GreenMass,5883000000
4,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,SawmillsHardwood,GreenMass,67000000
5,UnitedKingdom,YearOf2019,SoldProduction,SoftwoodSawnwood,,Volume,3410000000
6,UnitedKingdom,YearOf2019,SoldProduction,HardwoodSawnwood,,Volume,47000000
7,UnitedKingdom,YearOf2019,Export,SoftwoodRoundwood,,GreenMass,277190886
8,UnitedKingdom,YearOf2019,Export,HardwoodRoundwood,,GreenMass,126688254
9,UnitedKingdom,YearOf2019,Import,SoftwoodRoundwood,,GreenMass,820893188
10,UnitedKingdom,YearOf2019,Import,HardwoodRoundwood,,GreenMass,112466560
11,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,,Volume,6437000000
12,UnitedKingdom,YearOf2019,Import,HardwoodSawnwood,,Volume,603000000
13,UnitedKingdom,YearOf2019,Export,SoftwoodSawnwood,,Volume,193000000
14,UnitedKingdom,YearOf2019,Export,HardwoodSawnwood,,Volume,22000000
15,UnitedKingdom,YearOf2019,SoldProduction,Fibreboard,,Volume,751000000
16,UnitedKingdom,YearOf2019,SoldProduction,Particleboard,,Volume,2495000000
17,UnitedKingdom,YearOf2019,Export,Fibreboard,,Volume,62000000
18,UnitedKingdom,YearOf2019,Export,Particleboard,,Volume,234000000
19,UnitedKingdom,YearOf2019,Import,Fibreboard,,Volume,894000000
20,UnitedKingdom,YearOf2019,Import,Particleboard,,Volume,1274000000
21,UnitedKingdom,YearOf2019,Export,VeneerSheets,,Volume,2000000
22,UnitedKingdom,YearOf2019,Import,VeneerSheets,,Volume,53000000
23,UnitedKingdom,YearOf2019,Export,Plywood,,Volume,86000000
24,UnitedKingdom,YearOf2019,Import,Plywood,,Volume,1453000000
