ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement,Measurement,,
115,UnitedKingdom,YearOf2019,SoldProduction,WoodenOtherFurniture,,Mass,96812000,322673.743,207306.2099,207306209.9
116,UnitedKingdom,YearOf2019,Import,WoodenSeats,,Mass,203713824,436218.0385,436218.0385,436218038.5
117,UnitedKingdom,YearOf2019,Export,WoodenSeats,,Mass,42002851,89941.8651,89941.8651,89941865.1
118,UnitedKingdom,YearOf2019,SoldProduction,WoodenSeats,,Mass,106097400,7198.111349,227189.2934,227189293.4
119,UnitedKingdom,YearOf2019,SoldProduction,VeneerSheets,,Mass,0,0,0,0
120,UnitedKingdom,YearOf2019,SoldProduction,Plywood,,Mass,0,0,0,0
121,UnitedKingdom,YearOf2019,SoldProduction,ParticleboardToRMIAndOther,,Mass,274133370.9,587009.3595,587009.3595,587009359.5
122,UnitedKingdom,YearOf2019,ProcessInput,WoodenOfficeFurniture,WoodenOfficeFurnitureConsumption,Mass,972095986,2081575.987,2081575.987,2081575987
123,UnitedKingdom,YearOf2019,ProcessInput,OtherEnergyFeedstocksConsumption,OtherEnergyFeedstocksConsumption,Mass,3666612282,7851418.163,7851418.163,7851418163
124,UnitedKingdom,YearOf2019,SoldProduction,OtherEnergyFeedstocksWoodFibres,,Mass,3666612282,7851418.163,7851418.163,7851418163
125,UnitedKingdom,YearOf2019,ProcessInput,OtherEnergyFeedstocksWoodFibres,OtherEnergyFeedstocksProduction,Mass,3666612282,7851418.163,7851418.163,7851418163
126,UnitedKingdom,YearOf2019,ProcessInput,WoodenBedroomFurniture,WoodenBedroomFurnitureConsumption,Mass,377937019,809286.9786,809286.9786,809286978.6
127,UnitedKingdom,YearOf2019,ProcessInput,WoodenKitchenFurniture,WoodenKitchenFurnitureConsumption,Mass,969844646,2076755.131,2076755.131,2076755131
128,UnitedKingdom,YearOf2019,ProcessOutput,Pallets,PalletsManufacturing,Mass,1216898560,2605778.501,2605778.501,2605778501
129,UnitedKingdom,YearOf2019,ProcessInput,Pallets,PalletsConsumption,Mass,1216898560,2605778.501,2605778.501,2605778501
,,,,,,,,0,0,0
131,UnitedKingdom,YearOf2019,ProcessInput,Windows,WindowsConsumption,Mass,47685590.5,102110.4722,102110.4722,102110472.2
132,UnitedKingdom,YearOf2019,ProcessInput,Doors,DoorsConsumption,Mass,471535208,1009711.366,1009711.366,1009711366
133,UnitedKingdom,YearOf2019,ProcessOutput,Windows,WindowsConsumption,Mass,0,0,0,0
134,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibre,RecycledWoodFibreProcessingForPallets,Mass,916678540.6,1962909.081,1962909.081,1962909081
135,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibresToPallets,RefurbishedPalletsManufacturing,Mass,916678540.6,1962909.081,1962909.081,1962909081
136,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,SawnwoodToRepairMaintenanceImprovement,Mass,1267000000,2713062.099,2713062.099,2713062099
137,UnitedKingdom,YearOf2019,Export,RefurbishedPallets,,Mass,0,0,0,0
,,,,,,,,1313195.72,,0
